"Nummer";"EAN";"Name";"Einkaufspreis 1";"Endkundenpreis";"Bestand Hauptlager"
"14653";"";"AROY-D, Kokosmilch in Dose, 400ml";;1.79;
"14654";"";"AROY-D, Kokosmilch in Karton, 250ml";;1.29;
"14656";"";"CHAOKOH, Kokoscreme Classic Gold, 1000 ml";;3.29;
"14657";"";"KARA, Kokosmilch Dick, 1L";;3.99;
"14659";"";"CHAOKOH, Bambooscheiben im Wasser, 300g";;1.99;
"14661";"";"AROY-D, Junge Kokosnuss in Sirup, 440g";;1.79;
"14662";"";"AROY-D, Young Green Jackfruit, 550ml";;1.99;
"14663";"";"AROY-D, Jackfrucht in Dose, 565g";;1.99;
"14664";"";"H&S, Lychee in Dose, 567g";;1.99;
"14665";"";"AROY-D, Palm's Seeds (Attap) in Heavy Syrup, 530ml";;1.79;
"14666";"";"ROYAL THAI, Rambutan Nanas in syrup, 565g";;1.29;
"14667";"";"AROY-D, Bambosscheiben in Wasser, 540g";;1.79;
"14668";"";"SMILING FISH, Crispy Squid, 45g";;1.49;
"14669";"";"CHAOKOH, Zuckermais, 425g";;1.09;
"14670";"";"SMILING FISH, Gebratene Makrele mit Chili Soße, 425g";;2.94;
"14671";"";"CHAOKOH, Rambutan In Sirup, 565 g";;2.69;
"14673";"";"X. O. Zuckerpalmefr";;2.49;
"14675";"";"TWIN ELEPHANTS,  Bambussprossen in Streifen, 540 g";;1.99;
"14677";"";"THREE COCONUT TREE, Zitroneblatter Gefroren, 100g";;1.35;
"14678";"";"RAPINDO, Indonesisches Lorbeerblatt Gefroren, 100g";;2.99;
"14680";"";"SPRING HOME, Tyj Springrolls Pastry, inhalt 50 stk (125mmx125mm), 250g";;2.09;
"14681";"";"H&S, Patongo-Stäbchen (6 Stück), 250g";;2.09;
"14682";"";"H&S, Wantan Teig Gefroren, 500g";;2.79;
"14683";"";"CHIU CHOW, Fischballchen Rugby, 200g";;2.5;
"14684";"";"THREE COCONUT TREE, Garnelen Ball Gefroren, 200g";;2.19;
"14686";"";"THREE COCONUT TREE, Gourame Fisch Gefroren, 500g";;4.49;
"14687";"";"SPRING HOME, TYJ SPRING ROLL PASTRY 50 Sheets (190mmx190mm), 550g";;2.59;
"14688";"";"JEFI, Anchovy Fisch Gross, 100 g";;3.5;
"14689";"";"THREE COCONUT TREE, Tofu Packung, 240 g";;1.29;
"14690";"";"BUTTERFLY, Salam Blaetter, 15 g";;2;
"14695";"";"Frische Chili 100gr";;1.5;
"14697";"";"Frische  Galanga, 100gr";;1.6;
"14698";"";"Pisang Hijau Segar, 1kg";;3.49;
"14699";"";"Jahe Segar, 1kg";;4.99;
"14700";"";"frische Schalotte, 1kg";;9.99;
"14701";"";"frische Knoblauch, 1kg";;3.99;
"14702";"";"Indonesische Lorbeerbl";;0.99;
"14703";"";"Indonesische Tumericbl";;0.99;
"14704";"";"THREE COCONUT TREE, gekochte gefrorene Erdnüsse, 500g";;2.49;
"14705";"";"THREE COCONUT TREE, Gebratene Fisch Ball Gefroren, 200g";;1.99;
"14706";"";"BDMP, Getrocknete Garnelen, klein, 100 g";;3.99;
"14707";"";"GOLDEN TURTLE, Yellow Catfish, 1kg";;3.99;
"14708";"";"JEFI, Anchovy Fisch Size Medium, 100g";;1.69;
"14709";"";"THREE COCONUT TREE, geriebenen Papaya, 200g";;1.39;
"14712";"";"THREE COCONUT TREE, Schalotte in Scheiben, 100g";;0.55;
